userid;bookid;score
266226;1585422606;0
243077;0425036715;0
254053;0684814897;0
265889;0312983743;10
250644;0802006671;10
271195;050552533X;8
269439;0440228387;0
254206;1560274999;10
240528;2744013420;0
242006;0373482701;0
258185;0345413873;0
265889;0843952172;0
262998;0140443339;8
257368;0452008859;0
263325;0836210263;0
250015;0140126872;0
253198;1859672159;0
275473;0894803204;8
251976;0743470826;8
244484;0380018179;8
262940;0671024094;0
247129;0446606189;8
252820;0770426182;0
241086;0393319296;9
250405;0671043900;0
242232;044023722X;7
245963;0373024800;0
248718;0892815256;8
251613;0804104263;0
267622;0399149155;0
242824;0515131660;0
261896;1557731624;0
272395;0399150897;0
254465;042518269X;0
265881;0553583441;0
262310;086571231X;0
242083;0553569376;9
264115;0786885688;7
240272;0156028778;3
242299;0786868716;0
266226;068816689X;0
260840;0380470764;0
273110;0399148248;0
255056;0806512261;9
271074;0786868414;7
274308;0373708270;0
242646;1885211481;0
267642;0425169863;5
247447;0449221482;0
260486;8681283405;8
276038;0843945508;9
254543;0821766570;0
243328;0385488181;0
251541;0380727501;10
260944;0385314574;7
273993;0590568795;0
245829;0971880107;4
250987;1569471266;0
248718;0520045890;9
256407;0385263090;0
251613;0671443283;0
251422;0440201438;0
273307;0140449183;0
268330;0446612790;0
260473;8433920863;0
248718;031220356X;8
269462;0385503822;0
256398;0517007215;0
256251;0394800869;0
269386;0446604801;0
242106;0449130509;0
269759;0451456521;5
254241;0345351525;0
270713;0553280945;0
246655;0373764510;0
247890;0375421815;0
269719;0671016970;0
257204;0553571818;0
274803;3596247500;0
240401;0500810168;0
271558;044022425X;5
248973;8421631926;0
271306;0451458583;7
272660;0449221504;0
252504;0552142883;8
271460;0380732688;9
268110;0141303778;9
255943;1861871791;0
261160;8420430773;7
263344;0451166892;0
267249;0515082112;0
253855;0590408011;0
275210;0345417623;0
264321;0060165987;0
274061;0849934915;0
245963;0425088626;0
266226;0688172997;5
271284;0671870963;0
245864;0307045501;0
248464;0618129111;1
270838;1585420948;0
241628;1551665344;0
261683;881786983X;8
267356;0345347536;0
251613;0156444259;0
268330;0373441908;8
270638;0486277860;10
243930;067153615X;3
254064;156584730X;0
258534;0380798476;8
246874;0425107035;5
242966;0394755596;8
259447;0156005891;4
274004;0684864703;0
248850;0385098855;8
254465;0061031402;0
249894;0688020682;8
259734;0553210416;0
248168;0060969296;0
252695;0373244711;7
274004;1400034779;8
241980;0380978415;10
248003;039543095X;0
275281;0373261470;0
258938;0446365262;0
245963;0375700811;0
240543;0823025772;10
243075;0671040693;3
265115;0671748882;0
268030;0140430636;0
242006;0373292848;9
265221;0806986719;0
265254;0743480694;0
242824;0821776118;0
271284;0553248642;0
265115;084230052X;9
268751;0316602906;0
263344;0312140940;7
259629;0688177867;0
265403;0671625241;5
241265;0971880107;7
262426;155166609X;6
269759;0385491336;0
265626;0765300664;8
264029;0312243022;0
243492;0449005615;7
256402;0446605484;0
244833;0786818352;6
271122;0316569321;0
250330;067178708X;0
270838;0782121241;0
244349;0380704153;0
243312;0440220459;0
270713;0345336038;0
269566;0451126718;0
248582;0312421273;2
255719;0440221471;0
273190;047126380X;0
268110;0451166892;0
258185;0373244819;7
245963;0226307751;0
247079;8426107583;0
265889;0425180972;0
269795;1864363495;8
247752;034540761X;0
256448;0553129635;10
272225;0061031127;9
268540;0316603570;10
273979;0446609781;0
272796;8423977439;0
248965;0312195516;9
258185;0553560506;0
251442;0880887885;7
259320;0553569783;5
241617;0425163865;0
261611;0679737294;0
276361;0743211235;0
247978;3499229536;7
251394;039495341X;7
274061;0373119267;0
275823;0553575937;0
271144;1558745157;0
250409;0399144706;10
252827;0552998931;10
273770;0060987103;0
251843;0446673137;5
242878;0812861159;0
263329;8420483532;0
254465;0743442660;0
274061;0373118120;0
264321;0445208465;0
264994;0425180638;7
247134;034538475X;0
245963;0671448250;0
265115;0440200989;0
270906;0373258771;0
275673;0316952664;7
264525;0812543122;10
245814;0684810395;9
251339;0373711840;0
271448;0345428420;9
242083;0743444078;0
275970;0345296567;0
274056;0060928336;0
257700;0345378490;0
241204;0060937025;0
263383;0345380371;5
266865;0142437344;0
266866;0590401297;0
266226;0553210599;0
263325;067931041X;7
258152;0553562606;10
242742;1401397522;9
274061;0061040797;10
262998;0738208248;0
246448;1400060117;0
265595;1869501853;0
242646;0440220602;0
245963;0877847770;0
245963;042513329X;0
252695;0373764804;0
263645;0684862719;7
269815;0671726714;0
264637;0380812037;0
249924;0142000892;0
270713;0684837013;0
266819;078681389X;0
257003;0828320837;7
257204;0886777313;10
258185;0743442725;0
256167;0671745107;0
271622;0140238107;0
273347;0831400595;0
252045;0061010251;0
269439;0345377443;0
274061;0553150979;0
241523;3499263009;8
254465;0767905180;6
265553;0152012850;10
255218;0374134669;0
244742;0060292873;8
240603;0312971346;5
251327;038529929X;0
246671;0671536613;0
242824;0373292724;0
244708;0449005615;0
257893;0452284457;8
257204;0441138942;8
271284;0671739026;0
240441;0425179559;0
265313;044043551X;0
242824;0373483554;0
249210;0671643606;0
260217;0062548662;8
262074;0380006553;0
261829;0671451294;0
275450;0671040588;0
